Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
1,Michieletto,ITA,8,13,34,1.6,14.55,55
2,A. Lagumdzija,TUR,7,18,47,1.4,9.72,72
2,Wallace,BRA,7,11,68,1.4,8.14,86
3,Otávio,BRA,6,15,58,1.2,7.59,79
3,Matheus G.,BRA,6,13,71,1.2,6.67,90
3,Lucas,BRA,6,21,53,1.2,7.5,80
4,A. Nikolov,BUL,5,16,38,1.0,8.47,59
5,A. Ghafour,IRI,4,13,25,1.33,9.52,42
5,Mohammad,IRI,4,6,80,0.8,4.44,90
6,Bristot,ITA,3,5,16,0.6,12.5,24
6,Concepcion,CUB,3,8,18,1.0,10.34,29
6,Abdolhamidi,IRI,3,14,54,0.6,4.23,71
6,Chinenyeze,FRA,3,15,48,0.6,4.55,66
6,Elhossiny,EGY,3,8,30,1.0,7.32,41
6,Hossam,EGY,3,2,17,1.0,13.64,22
6,Vaccari,BRA,3,13,41,0.6,5.26,57
6,Zelayeta,ARG,3,9,19,1.0,9.68,31
7,Sbertoli,ITA,2,6,49,0.4,3.51,57
7,Garcia,USA,2,14,21,0.4,5.41,37
7,Younes,IRI,2,3,4,0.67,22.22,9
7,Hajipour,IRI,2,16,58,0.4,2.63,76
7,Poriya,IRI,2,15,15,0.4,6.25,32
7,Bottolo,ITA,2,24,29,0.4,3.64,55
7,Maicon,BRA,2,14,19,0.67,5.71,35
7,Asran,EGY,2,13,23,0.67,5.26,38
7,Rodriguinho,BRA,2,20,54,0.4,2.63,76
7,Garcia,ARG,2,7,7,0.67,12.5,16
7,Gomez,ARG,2,10,5,0.67,11.76,17
7,Facu,ARG,2,8,16,0.67,7.69,26
8,Rychlicki,ITA,1,14,27,0.2,2.38,42
8,Lavia,ITA,1,9,50,0.2,1.67,60
8,Usman,PAK,1,6,28,0.33,2.86,35
8,Masoud,IRI,1,7,39,0.33,2.13,47
8,Seyed,IRI,1,19,50,0.2,1.43,70
8,Esi,IRI,1,1,46,0.2,2.08,48
8,A. Ramezani,IRI,1,3,70,0.2,1.35,74
8,Orduna,ITA,1,0,9,0.2,10.0,10
8,Franco,BRA,1,1,18,0.33,5.0,20
8,Temponi,BRA,1,2,9,0.33,8.33,12
8,Eliezer,BRA,1,8,22,0.33,3.23,31
8,B. Alves,BRA,1,3,10,0.33,7.14,14
8,Abdalla,EGY,1,3,7,0.33,9.09,11
8,A. Salah,EGY,1,11,29,0.33,2.44,41
8,Eslam,EGY,1,4,8,0.33,7.69,13
8,Khaled. A,EGY,1,1,8,0.33,10.0,10
8,Ponzio,ARG,1,11,22,0.33,2.94,34
8,Gonzalez,ARG,1,3,42,0.33,2.17,46
8,Diaz,ARG,1,4,11,0.33,6.25,16
9,Pesaresi,ITA,0,0,0,,,0
9,Pellacani,ITA,0,6,34,0.0,0.0,40
9,Magalini,ITA,0,4,13,0.0,0.0,17
9,Laurenzano,ITA,0,0,0,,,0
9,Bartha,ROU,0,2,15,0.0,0.0,17
9,Flavio,BRA,0,12,30,0.0,0.0,42
9,Acquarone,ITA,0,5,15,0.0,0.0,20
9,Ilshan,IRI,0,2,34,0.0,0.0,36
9,Shayan,IRI,0,2,14,0.0,0.0,16
9,Salim,IRI,0,5,20,0.0,0.0,25
9,Ali Asghar,IRI,0,0,0,,,0
9,Mehdi,IRI,0,0,0,,,0
9,Mohsen,IRI,0,0,0,,,0
9,Ahmadreza,IRI,0,1,3,0.0,0.0,4
9,Seyed,IRI,0,0,0,,,0
9,M. R. Moazzen,IRI,0,0,0,,,0
9,Karami,IRI,0,0,3,0.0,0.0,3
9,Ashkan,IRI,0,0,0,,,0
9,Ahmadreza,IRI,0,0,0,,,0
9,A.Khalili,IRI,0,8,28,0.0,0.0,36
9,Marandi,IRI,0,0,0,,,0
9,Armin,IRI,0,0,0,,,0
9,Gargiulo,ITA,0,1,37,0.0,0.0,38
9,Loeppky,CAN,0,7,17,0.0,0.0,24
